label_id,council_districts,method,matched
8a7a8c4604ca,22,park,Whitey Ford Field
0d7fa887d458,22,park,Ditmars Playground
0613946ad9e2,22,park,Rainey Park
16cb4452d318,22,park,Astoria Park
f4c2b1a05655,26,park,Dutch Kills Playground
eb2b505d3cf6,22,park,Astoria Park
4cfef8b80f3f,22,park,Whitey Ford Field
45c55bcb3a97,26,park,Sixteen Oaks Grove
5dfc6d83f996,22,park,Astoria Park
cf54a89c668b,22,park,Astoria Park
3e2dc4f10c6e,22,park,Astoria Park
72487e7c8ecc,22,park,Sean's Place
8fc3853ae6e9,22,park,Astoria Park
e65124ab6581,22,park,Astoria Park
03351b0ac235,22,park,Astoria Park
19cba581544d,22,park,Astoria Heights Playground
babcb1570c2d,22,park,Ditmars Playground
6d64f6871efb,22,park,Whitey Ford Field
6b5498ebf8d7,26,park,Queensbridge Park
bbceff724cdd,22,park,Rainey Park
b6ec3c3d46c8,22,park,Astoria Park
b9355bc97dc7,26,park,Ravenswood Playground
fb89019e69bd,22,park,Astoria Heights Playground
7f9ffa9f6935,22,park,Astoria Heights Playground
628c57991f2d,22,park,Astoria Park
94df74594939,22,park,Hallets Cove Playground
83a3b2cb80f1,22,park,Astoria Park
1206f92d9d32,22,park,Astoria Park
ad679682d3fb,22,park,Astoria Park
99146ee53639,26,park,Court Square Park
8ce21d4b8f6d,26,park,Rafferty Triangle
b5e55638f2e9,21,park,Veterans Plaza
21ce06975164,21,park,Flushing Meadows Corona Park
37e63fc3874f,21,park,Park Of The Americas
2d8ffefd4e79,21,park,Triangle 90
aae6fd90afc8,21,park,Flushing Meadows Corona Park
b0de2e526cbc,25,park,Middleburgh Triangle
5ff89b54d216,30,park,Hoffman Park
ae210fde6729,21,park,Flushing Meadows Corona Park
f38c7c6c2d12,21,park,Flushing Meadows Corona Park
ebdb4ef176a6,21,park,Corona Plaza
d49916fa0517,21,park,William F Moore Park
8fa733784401,21,park,Corona Plaza
1c04ed091740,32,park,Highland Park
0ec2a982ae16,30,park,Juniper Valley Park
2daf036ff20f,32,park,Jackie Robinson Parkway
0c939ec22f4b,30,park,Rosemary's Playground
3d0b895a87e5,30,park,Evergreen Park
02d3a78e70e1,30,park,Juniper Valley Park
0e1ef6fe75a8,30,park,Juniper Valley Park
aa5e6cba6d0d,32,park,Forest Park
4e20f12e97f2,20,park,Kissena Corridor Park
f9944539b6ce,19,park,Frank Golden Park
7efd1ae383e7,20,park,Kissena Park
3b95db274adb,20|21,park,Flushing Meadows Corona Park
6bd7db505193,20,park,Kissena Park
6d7188680543,20|21,park,Flushing Meadows Corona Park
39b0d57d0ea7,19,park,Little Bay Park
b0c0d0004f8a,24,park,Cedar Grove Playground
a637254f7f4c,23,park,Cunningham Park
734b4ecad284,20|24,park,Flushing Meadows Corona Park
32432be9037a,24,park,Briarwood Playground
faee475d37fd,24,park,Vleigh Playground
ebebe5f7e4b4,24,park,Freedom Square Playground
cc17e4f28e5a,24,park,Utopia Playground
f5671dcb6539,23,park,Cunningham Park
85a03a93cd87,29|32,park,Forest Park
adca019e7cd4,29|32,park,Forest Park
34cafcb0670b,29|32,park,Forest Park
47d68e023b05,29|32,park,Forest Park
9d00e3152331,29|32,park,Forest Park
ac06d8f89b8a,29|32,park,Forest Park
96ea9908c38c,29|32,park,Forest Park
8058095987b8,29|32,park,Forest Park
73e11ed8599f,29|32,park,Forest Park
7f7124d7fb48,29|32,park,Forest Park
fd92ef1e1d29,28|31,park,Belt Parkway
edd98e5c2339,28|31,park,Belt Parkway
f495b91d5db5,32,park,Tudor Park
8db09a760c24,19|23,park,Cross Island Parkway
ad98aaaa57eb,23,park,Alley Park
c354e9cbada4,19,park,Glenwood Landing
331a7525d609,19,park,John Golden Park
57e1225b301d,23,park,Challenge Playground
39e040477a0c,23,park,Motor Parkway
7295dfccdde3,23,park,Motor Parkway
a37efb0c1f27,19|23,park,Cross Island Parkway
f0b5cd376c79,23|27,park,Cross Island Parkway
e5c5229f06c3,27,park,Haggerty Park
3c3ce8542b42,23,park,Grand Central Parkway
9215135c1947,27|31,park,Laurelton Parkway
be748ebc67ae,31,park,Idlewild Park
2f21d89f3df8,27|31,park,Laurelton Parkway
fa26d9be7cfe,27|31,park,Laurelton Parkway
129ed36377fa,31,park,Springfield Park
1cd2acb32634,31,park,Springfield Park
